======================================================================
RUN      : 8level-weight-ste-noise-layerwise_act-ste_wgt-ste_lr1e-3_nosched_noise-lw-s0.05-l10.025-l20.01-l30.001-130ep
OUTPUT   : experiments/8level-weight-ste-noise-layerwise_act-ste_wgt-ste_lr1e-3_nosched_noise-lw-s0.05-l10.025-l20.01-l30.001-130ep
Device   : cuda:2
Start    : experiments/8level-weight-ste_act-ste_wgt-ste_lr1e-3_nosched/best_model.pth
Quant    : input=True  act=True  weights=True
Grad     : act=ste  weight=ste
Noise    : mode=layerwise  phase=130 epochs
  Stem   : var=0.05   std=0.2236
  Layer1 : var=0.025  std=0.1581
  Layer2 : var=0.01   std=0.1000
  Layer3 : var=0.001  std=0.0316
LR=0.001  Epochs=150  Scheduler=False
Missing keys: 0
======================================================================
 Epoch     Phase   TrainAcc   TrainLoss    ValAcc   ValLoss         LR
   129     NOISY     84.68%      0.4391    79.18%    0.6473   0.001000
   130     NOISY     84.35%      0.4426    82.57%    0.5157   0.001000
   131     CLEAN     87.04%      0.3711    78.70%    0.6805   0.001000
   132     CLEAN     86.87%      0.3715    82.76%    0.5143   0.001000
   133     CLEAN     87.24%      0.3677    80.66%    0.5898   0.001000
   134     CLEAN     87.21%      0.3625    81.96%    0.5495   0.001000
   135     CLEAN     87.30%      0.3603    80.89%    0.5783   0.001000
   136     CLEAN     87.29%      0.3620    80.67%    0.5947   0.001000
   137     CLEAN     87.50%      0.3591    78.44%    0.6909   0.001000
   138     CLEAN     87.28%      0.3607    78.01%    0.7048   0.001000
   139     CLEAN     87.47%      0.3603    79.29%    0.6910   0.001000
   140     CLEAN     87.73%      0.3524    79.41%    0.6664   0.001000
   141     CLEAN     87.36%      0.3576    80.74%    0.5968   0.001000
   142     CLEAN     87.60%      0.3557    74.82%    0.8089   0.001000
   143     CLEAN     87.54%      0.3563    79.25%    0.6782   0.001000
   144     CLEAN     87.53%      0.3558    79.31%    0.6472   0.001000
   145     CLEAN     87.63%      0.3548    79.52%    0.6710   0.001000
   146     CLEAN     87.68%      0.3538    79.90%    0.6421   0.001000
   147     CLEAN     87.57%      0.3556    78.76%    0.7113   0.001000
   148     CLEAN     87.68%      0.3537    80.89%    0.6140   0.001000
   149     CLEAN     87.60%      0.3533    77.08%    0.7439   0.001000
   150     CLEAN     87.62%      0.3546    82.29%    0.5545   0.001000
----------------------------------------------------------------------
Best val accuracy : 83.04%
Best checkpoint   : experiments/8level-weight-ste-noise-layerwise_act-ste_wgt-ste_lr1e-3_nosched_noise-lw-s0.05-l10.025-l20.01-l30.001-130ep/best_model.pth
Last checkpoint   : experiments/8level-weight-ste-noise-layerwise_act-ste_wgt-ste_lr1e-3_nosched_noise-lw-s0.05-l10.025-l20.01-l30.001-130ep/last_model.pth
Log saved         : experiments/8level-weight-ste-noise-layerwise_act-ste_wgt-ste_lr1e-3_nosched_noise-lw-s0.05-l10.025-l20.01-l30.001-130ep/log.txt
Config saved      : experiments/8level-weight-ste-noise-layerwise_act-ste_wgt-ste_lr1e-3_nosched_noise-lw-s0.05-l10.025-l20.01-l30.001-130ep/config.txt
Plot saved        : experiments/8level-weight-ste-noise-layerwise_act-ste_wgt-ste_lr1e-3_nosched_noise-lw-s0.05-l10.025-l20.01-l30.001-130ep/training_curves.png
